관서명,자치구,주소,위도,경도
중부서,중구,서울특별시 중구 퇴계로 67 AK타워,37.5600691,126.9797704
종로서,종로구,서울특별시 종로구 인사동5길 41,37.5719105,126.9840427
남대문서,중구,서울특별시 중구 한강대로 410,37.5547667,126.9734874
서대문서,서대문구,서울특별시 서대문구 충정로 13 삼창빌딩,37.5604806,126.9625887
혜화서,종로구,서울특별시 종로구 종로 375,37.5743441,127.0190904
용산서,용산구,서울특별시 용산구 원효로89길 24 용산경찰서,37.5412133,126.9677732
성북서,성북구,서울특별시 성북구 보문로 170,37.589973,127.0161759
동대문서,동대문구,서울특별시 동대문구 약령시로21길 29 동대문경찰서,37.5851004,127.0457643
마포서,마포구,서울특별시 마포구 마포대로 183,37.5510174,126.9539447
영등포서,영등포구,서울특별시 영등포구 국회대로 608,37.5258475,126.9009425
성동서,성동구,서울특별시 성동구 왕십리광장로 9 성동경찰서,37.5618367,127.0364908
동작서,동작구,서울특별시 동작구 노량진동 노량진로 148 동작경찰서,37.5131459,126.9428596
광진서,광진구,서울특별시 광진구 자양로 167,37.5428366,127.0838753
서부서,은평구,서울특별시 은평구 진흥로 58,37.6020717,126.9212207
강북서,강북구,서울특별시 강북구 오패산로 406 서울강북경찰서,37.6374118,127.0273396
금천서,금천구,서울특별시 금천구 시흥대로73길 50,37.457244,126.8966992
중랑서,중랑구,서울특별시 중랑구 신내역로3길 40-10,37.6187749,127.1045568
강남서,강남구,서울특별시 강남구 테헤란로114길 11,37.5094438,127.0671247
관악서,관악구,서울특별시 관악구 관악로5길 33 관악경찰서,37.4745177,126.9510663
강서서,강서구,서울특별시 강서구 화곡로 308 서울강서경찰서,37.5513653,126.8499771
강동서,강동구,서울특별시 강동구 성내로 57 강동경찰서,37.5284841,127.1269289
종암서,성북구,서울특별시 성북구 종암로 137 서울종암경찰서,37.6022033,127.0322197
구로서,구로구,서울특별시 구로구 새말로 97 신도림 테크노마트 5층,37.5070143,126.8902633
서초서,서초구,서울특별시 서초구 반포대로 179 서초경찰서,37.4956273,127.0052267
양천서,양천구,서울특별시 양천구 목동동로 99 서울양천경찰서,37.5165522,126.8655457
송파서,송파구,서울특별시 송파구 잠실로 62,37.5104783,127.0862175
노원서,노원구,서울특별시 노원구 노원로 283 노원경찰서,37.6423349,127.0714083
방배서,서초구,서울특별시 서초구 동작대로 204 방배경찰서 임시청사,37.4946884,126.9831865
은평서,은평구,서울특별시 은평구 연서로 365 은평경찰서,37.6282945,126.92853
도봉서,도봉구,서울특별시 도봉구 노해로 403 도봉경찰서,37.6534487,127.052775
수서서,강남구,서울특별시 강남구 개포로 617 수서경찰서,37.4934546,127.0770984
